addr_street;addr_number;addr_building;addr_letter;addr_district;data_buildingdate;param_ukname;repair_years;repair_work_problem;number;lat;lon;data_reconstructiondate;age;index_r;age_norm;age_norm_inv
г.Зеленогорск, Красноармейская ул.;21;0.0;А;Курортный;1917;"ООО ""ЖКС Курортного района""";2021;Ремонт конструкций и замена покрытий крыш;1304;30.326190000000004;59.959314;0.0;101;0.2631394317913649;0.33916083916083917;0.6608391608391608
Есенина ул.;36;3.0;А;Выборгский;1981;"Общество с ограниченной ответственностью ""Релакс""";2020;"Ремонт или замена системы холодного водоснабжения; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";1307;30.315868;59.939095;0.0;37;0.4169511066655112;0.11538461538461539;0.8846153846153846
Дудко ул.;33;0.0;А;Невский;1972;"ООО ""Жилкомсервис №1 Невского района""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории";1317;30.303624;59.9563;0.0;46;0.37843946216951113;0.14685314685314685;0.8531468531468531
Лермонтовский пр.;40-42;0.0;В;Адмиралтейский;1900;"ООО ""Жилкомсервис №1 Адмиралтейского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы отопления";1321;30.269129;59.845234;0.0;118;0.24432155449513557;0.3986013986013986;0.6013986013986015
Стойкости ул.;1;0.0;А;Кировский;2001;"Товарищество собственников жилья ""Петербуржец""";2020;"Ремонт конструкций и замена покрытий крыш; Капитальный ремонт лифтов с частичной заменой оборудования: модернизация лифтов";1328;30.41647;59.920731;0.0;17;0.5808284224082145;0.045454545454545456;0.9545454545454546
Большая Подьяческая ул.;01.мар;0.0;А;Адмиралтейский;1870;"ООО ""Жилкомсервис №2 Адмиралтейского района""";2019;"Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов; Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы канализования и водоотведения; Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или восстановление ОДС";1329;30.266452;59.888808;0.0;148;0.2190105498299992;0.5034965034965035;0.49650349650349646
Энтузиастов пр.;37/12;0.0;А;Красногвардейский;2006;"ООО ""Жилкомсервис  №2 Красногвардейского района""";2020;"Ремонт или замена системы электроснабжения; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт или восстановление ОДС; Ремонт конструкций и замена покрытий крыш";1345;30.276567;59.939478;0.0;12;0.6682654663407499;0.027972027972027972;0.972027972027972
Митавский пер.;10;0.0;А;Центральный;1901;ООО «Жилкомсервис № 1 Центрального района»;2019;"Ремонт конструкций и замена покрытий крыш; Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов; Расходы на изготовление проектно-сметной документации";1352;30.300121;59.951218;0.0;117;0.24532004936458454;0.3951048951048951;0.6048951048951049
Кирилловская ул.;1;0.0;А;Центральный;1908;"ООО ""Жилкомсервис №3 Центрального района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";1362;30.377007;59.938076;0.0;110;0.25266441450401556;0.3706293706293706;0.6293706293706294
Нахимова ул.;14/41;0.0;Б;Василеостровский;1962;"ООО ""Жилкомсервис № 1 Василеостровского района""";2020;"Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории; Ремонт или замена системы отопления";1363;30.301962;60.045763;0.0;56;0.3462207510876804;0.18181818181818182;0.8181818181818181
Купчинская ул.;21;1.0;А;Фрунзенский;1974;"ОАО ""Хозяйственно-эксплуатационное управление""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы отопления";1373;30.298782;59.953034;0.0;44;0.38605457325560044;0.13986013986013987;0.8601398601398601
наб.реки Мойки;93;0.0;А;Адмиралтейский;1878;"ТСЖ ""Мойка""";2019;"Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления";1391;30.351873;59.930742;0.0;140;0.22499821491876612;0.4755244755244755;0.5244755244755245
пос.Шушары, Славянка, Колпинское шоссе;10;4.0;А;Пушкинский;2011;"ООО ""Жилкомсервис №1 Колпинского района""";2020;"Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления; Расходы на изготовление проектно-сметной документации";1392;30.332963;59.99395;0.0;7;0.8208438207128181;0.01048951048951049;0.9895104895104895
Приморский пр.;137;2.0;А;Приморский;2008;УК ЗАО Сервис-Недвижимость;2020;"Ремонт фасадов без утепления; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления; Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории";1399;30.322138;59.91606700000001;0.0;10;0.7175559837002602;0.02097902097902098;0.9790209790209791
Жерновская 2-я ул.;23;0.0;А;Красногвардейский;2007;"ООО ""УК ""ДМ""";2020;"Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы электроснабжения";1400;30.434589000000006;59.99537700000001;0.0;11;0.6914885665954706;0.024475524475524476;0.9755244755244755
Парашютная ул.;19;2.0;А;Приморский;2000;"ТСЖ ""Коломяжский Дворик""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления; Асфальтирование и замощение придомовой территории; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или восстановление ОДС";1403;30.324564;60.079904000000006;0.0;18;0.5673236678211675;0.04895104895104895;0.951048951048951
Анисимова ул.;5;0.0;А;Колпинский;2005;"ТСЖ ""На берегу""";2020;Ремонт фасада (Герметизация стыков стеновых панелей);1406;30.290554;59.93907700000001;0.0;13;0.6473888069275165;0.03146853146853147;0.9685314685314685
Коллонтай ул.;27;1.0;А (пар. 19-26);Невский;1975;ЖСК-799;2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы отопления";1407;30.315868;59.939095;0.0;43;0.39004228037464234;0.13636363636363635;0.8636363636363636
2-я линия В.О.;3;0.0;А;Василеостровский;1893;"ООО ""УК ВОЗРОЖДЕНИЕ""";2020;Ремонт конструкций и замена покрытий крыш;1408;30.287993;59.945288;0.0;125;0.23765265984418119;0.4230769230769231;0.5769230769230769
Щербакова ул.;3;1.0;А;Приморский;1996;ЖСК-1396;2020;Ремонт конструкций и замена покрытий крыш;1416;30.293886;59.854621;0.0;22;0.5217786777491664;0.06293706293706294;0.9370629370629371
Маршала Жукова пр.;58;4.0;А;Кировский;2005;"Товарищество собственников жилья ""Ульянка - 4А""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения";1420;30.141146000000006;59.997797;0.0;13;0.6473888069275165;0.03146853146853147;0.9685314685314685
г.Пушкин, Красносельское ш.;12;2.0;А;Пушкинский;2007;"ООО ""Доверие""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы электроснабжения; Ремонт и восстановление озеленения";1424;30.249096;59.855751;0.0;11;0.6914885665954706;0.024475524475524476;0.9755244755244755
пос.Комарово, Горная ул.;3;0.0;В;Курортный;1955;ЖКС Курортного района;2021;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории; Ремонт и восстановление озеленения";1425;30.370369;60.022958;0.0;63;0.32805293350299036;0.2062937062937063;0.7937062937062938
Веденеева ул.;2;0.0;А;Калининский;2005;"ТСЖ ""Сосновка-2""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения";1427;30.226603000000004;59.830798;0.0;13;0.6473888069275165;0.03146853146853147;0.9685314685314685
г.Пушкин, Железнодорожная ул.;8;3.0;А;Пушкинский;2000;"ООО ""ЖКС №1 Пушкинского района""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории; Ремонт и восстановление озеленения";1430;30.418231;60.016964;0.0;18;0.5673236678211675;0.04895104895104895;0.951048951048951
г.Пушкин, Красносельское ш.;14;1.0;А;Пушкинский;2007;"ТСЖ ""У Орловских ворот""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления; Расходы на изготовление проектно-сметной документации";1434;30.273189;59.849673;0.0;11;0.6914885665954706;0.024475524475524476;0.9755244755244755
Рылеева ул.;10;0.0;А;Центральный;1881;ООО «Жилкомсервис № 1 Центрального района»;2020;"Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или замена системы отопления";1435;30.271042;59.840388;0.0;137;0.22737059008029467;0.46503496503496505;0.534965034965035
пос.Парголово, Торфяное, Старожиловская ул.;19;2.0;А;Выборгский;1969;"Общество с ограниченной ответственностью  ""Жилкомсервис №1 Выборгского района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления";1438;30.315868;59.939095;0.0;49;0.36783047869004404;0.15734265734265734;0.8426573426573427
пос.Песочный, квартал 9-й;151;0.0;А;Курортный;1952;"ООО ""ЖЭК Созвездие-Приморский""";2021;Асфальтирование и замощение придомовой территории;1440;30.321869;59.933429;0.0;66;0.3211023005294827;0.21678321678321677;0.7832167832167832
Кронштадтское шоссе;12;0.0;А;Кронштадский;1993;"ООО""Жилкомсервис Кронштадтского района""";2020;"Ремонт конструкций и замена покрытий крыш; Капитальный ремонт лифтов (с заменой крупных узлов)";1441;30.215769;59.832937;0.0;25;0.4942643829520352;0.07342657342657342;0.9265734265734266
г.Петродворец, Университетский пр.;8;0.0;А;Петродворцовый;2007;"ТСЖ ""Олимп""";2020;"Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";1444;30.383619;59.834809;0.0;11;0.6914885665954706;0.024475524475524476;0.9755244755244755
Дунайский пр.;31;1.0;А;Фрунзенский;2004;"ТСЖ ""Южное""";2020;"Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы канализования и водоотведения; Ремонт конструкций и замена покрытий крыш";1446;30.270845;59.972402;0.0;14;0.6284766690890997;0.03496503496503497;0.965034965034965
Константиновский пр.;янв.24;0.0;А;Петроградский;2003;"ТСЖ ""Константиновский 1/24""";2020;"АВКР; Расходы на изготовление проектно-сметной документации; Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш";1448;30.149222;59.78911700000001;0.0;15;0.6112301967738138;0.038461538461538464;0.9615384615384616
Ленинский пр.;74;1.0;А;Красносельский;2010;"ООО ""УК""Комфорт Сервис""";2020;Ремонт конструкций и замена покрытий крыш;1449;30.315868;59.939095;0.0;8;0.7811293831847137;0.013986013986013986;0.986013986013986
г.Ломоносов, Владимирская ул.;6;0.0;А;Петродворцовый;2007;"ТСЖ ""Ломоносовское""";2020;"Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы отопления";1451;30.228974;59.957012;0.0;11;0.6914885665954706;0.024475524475524476;0.9755244755244755
Доблести ул.;28;1.0;А;Красносельский;2005;"ТСЖ ""Доблести-Зорге""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления";1452;30.315868;59.939095;0.0;13;0.6473888069275165;0.03146853146853147;0.9685314685314685
Кораблестроителей ул.;44;1.0;А;Василеостровский;2003;"ТСЖ""улица Кораблестроителей д.44,корп.1""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш";1453;30.351325;60.038569;0.0;15;0.6112301967738138;0.038461538461538464;0.9615384615384616
г.Пушкин, Жуковско-Волынская ул.;12;0.0;А;Пушкинский;1950;Собственники жилого дома;2020;"Ремонт фасадов без утепления; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации";1454;30.278642;59.98654200000001;0.0;68;0.31670791083571825;0.22377622377622378;0.7762237762237763
пос.Песочный, квартал 9-й;144;0.0;А;Курортный;1952;"ООО ""ЖЭК Созвездие-Приморский""";2021;Асфальтирование и замощение придомовой территории;1462;30.394183;60.035638;0.0;66;0.3211023005294827;0.21678321678321677;0.7832167832167832
Выборгское шоссе;5;3.0;А;Выборгский;1999;"ЖСК 1479 ""Океан""";2020;"Ремонт или замена системы холодного водоснабжения; Асфальтирование и замощение придомовой территории; Ремонт конструкций и замена покрытий крыш";1465;30.404801000000006;60.015399;0.0;19;0.5547670425085036;0.05244755244755245;0.9475524475524475
2-я линия В.О.;3;0.0;Б;Василеостровский;1893;"ООО "" УК ВОЗРОЖДЕНИЕ""";2020;"Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории";1466;30.112121;59.846201;0.0;125;0.23765265984418119;0.4230769230769231;0.5769230769230769
Петергофское Шоссе;78;5.0;А;Красносельский;2012;"ООО ""ЭК""Европейские предместья""";2020;"Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Расходы на изготовление проектно-сметной документации";1468;30.417216;60.034879;0.0;6;0.8681990732694461;0.006993006993006993;0.993006993006993
Наставников пр.;5;3.0;А (кв. 117-330);Красногвардейский;1983;ЖСК №1141;2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы электроснабжения; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";1469;30.416902;59.722454000000006;0.0;35;0.4272764087092897;0.10839160839160839;0.8916083916083917
Гражданский пр.;116;5.0;А;Калининский;2005;"ТСЖ ""Гражданский, 116/5""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы электроснабжения; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";1470;30.315868;59.939095;0.0;13;0.6473888069275165;0.03146853146853147;0.9685314685314685
г.Пушкин, Саперная ул.;36;3.0;А;Пушкинский;2007;"ООО ""Доверие""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории; Ремонт и восстановление озеленения";1472;30.433404;60.00366;0.0;11;0.6914885665954706;0.024475524475524476;0.9755244755244755
г.Сестрорецк, Николая Соколова ул.;27;0.0;А;Курортный;2007;"ТСЖ ""Рай в шалаше""";2020;Ремонт конструкций и замена покрытий крыш;1473;30.280241;59.985323;0.0;11;0.6914885665954706;0.024475524475524476;0.9755244755244755
Большеохтинский пр.;22;2.0;А;Красногвардейский;1975;"ООО ""Жилкомсервис №1 Красногвардейского района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления";1529;30.480179;59.93050699999999;0.0;43;0.39004228037464234;0.13636363636363635;0.8636363636363636
пос.Шушары, Первомайская ул.;20;0.0;А;Пушкинский;2009;"ООО ""УК""Технопарк №1""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Капитальный ремонт лифтов (с заменой крупных узлов)";1618;30.419641;59.921804;0.0;9;0.7471321914760176;0.017482517482517484;0.9825174825174825
пос.Шушары, Славянка,Галицкая ул.;10;3.0;А;Пушкинский;2011;"ООО ""Жилкомсервис № 1 Колпинского района""";2020;"Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Асфальтирование и замощение придомовой территории";1624;30.241065000000006;60.025583;0.0;7;0.8208438207128181;0.01048951048951049;0.9895104895104895
Соляной пер.;5;0.0;А;Центральный;1798;ООО «Жилкомсервис № 1 Центрального района»;2020;"Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы отопления";1647;30.278777;59.945486;0.0;220;0.18018728149297594;0.7552447552447552;0.2447552447552448
Юрия Гагарина пр.;14;2.0;А;Московский;1963;"ООО "" Жилкомсервис № 1 Московского района""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы электроснабжения";1652;30.306912;59.924551;0.0;55;0.34907322156779746;0.17832167832167833;0.8216783216783217
Среднеохтинский пр.;1;3.0;А;Красногвардейский;1917;"ТСЖ ""Среднеохтинский 1-3""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления";1657;30.420531;60.008977;0.0;101;0.2631394317913649;0.33916083916083917;0.6608391608391608
8-я линия В.О.;33;0.0;А;Василеостровский;1893;"ООО "" УК ВОЗРОЖДЕНИЕ""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления; Ремонт или замена системы отопления";1666;30.3162;59.859149;0.0;125;0.23765265984418119;0.4230769230769231;0.5769230769230769
Победы ул.;6;0.0;А;Московский;1959;"ООО Жилкомсервис № 3 Московского района""";2020;Ремонт конструкций и замена покрытий крыш;1668;30.317889;59.904983;0.0;59;0.33806945908190317;0.19230769230769232;0.8076923076923077
пос. Левашово, Новоселки;100;0.0;А;Выборгский;1969;"Общество с ограниченной ответственностью  ""Жилкомсервис №1 Выборгского района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или замена системы отопления";1675;30.304675;59.96099399999999;0.0;49;0.36783047869004404;0.15734265734265734;0.8426573426573427
Героев пр.;26;3.0;А;Красносельский;2010;"ООО ""Строитель""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";1678;30.361565;59.95666;0.0;8;0.7811293831847137;0.013986013986013986;0.986013986013986
Академика Лебедева ул.;4;2.0;А;Выборгский;1893;Общество с ограниченной ответственностью Жилкомсервис № 1 Выборгского района;2020;"Ремонт конструкций и замена покрытий крыш; Расходы на изготовление проектно-сметной документации";1683;30.415464;59.950839;0.0;125;0.23765265984418119;0.4230769230769231;0.5769230769230769
Радищева ул.;05.июл;0.0;А;Центральный;1890;"ООО ""Жилкомсервис №3 Центрального района""";2020;"Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации";1686;30.293042;59.919509;0.0;128;0.23495442252392376;0.43356643356643354;0.5664335664335665
Королева пр.;29;1.0;А;Приморский;1987;ЖСК 1239;2020;"Ремонт или замена системы холодного водоснабжения; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт конструкций и замена покрытий крыш";1691;30.266946;59.939956;0.0;31;0.45054499161717937;0.0944055944055944;0.9055944055944056
Чайковского ул.;13;0.0;А;Центральный;1914;ООО «Жилкомсервис № 1 Центрального района»;2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей)";1712;30.127006;59.837332;0.0;104;0.2595060053047475;0.34965034965034963;0.6503496503496504
11-я линия В.О.;4;0.0;А;Василеостровский;1917;"ТСЖ""11 линия д. 4""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации";1713;30.180088;59.82539300000001;0.0;101;0.2631394317913649;0.33916083916083917;0.6608391608391608
Пионерстроя ул.;27;0.0;А;Красносельский;1972;"ТСЖ ""Пионерстроя 27""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";1714;30.304783;59.874874;0.0;46;0.37843946216951113;0.14685314685314685;0.8531468531468531
Новгородская ул.;18;0.0;Б;Центральный;1902;"ООО ""Жилкомсервис №3 Центрального района""";2019;"Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы отопления";1722;30.319021000000006;59.905917;0.0;116;0.24633069683803605;0.3916083916083916;0.6083916083916083
Итальянская ул.;12;0.0;Ж;Центральный;1916;ООО «Жилкомсервис № 1 Центрального района»;2020;"Ремонт конструкций и замена покрытий крыш; Расходы на изготовление проектно-сметной документации";1726;30.173171000000004;59.825809;0.0;102;0.2619115626268555;0.34265734265734266;0.6573426573426573
Октябрьская ул.;81;0.0;А;Колпинский;2005;"ООО "" ЖКС № 1 Колпинского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы отопления";1732;30.257343;59.930498;0.0;13;0.6473888069275165;0.03146853146853147;0.9685314685314685
Мгинская ул.;5;0.0;А;Фрунзенский;1951;"ООО ""Жилкомсервис № 1 Фрунзенского района""";2020;"Ремонт конструкций и замена покрытий крыш; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";1739;30.473585;59.89310500000001;0.0;67;0.31888229479409025;0.2202797202797203;0.7797202797202797
Савушкина ул.;140;0.0;А;Приморский;2004;"ТСЖ ""Савушкина 140""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления";1745;30.406427;59.866292;0.0;14;0.6284766690890997;0.03496503496503497;0.965034965034965
16-я линия, В.О.;13/46;0.0;Д;Василеостровский;1905;"ООО ""Жилкомсервис № 2 Василеостровского района""";2020;Расходы на изготовление проектно-сметной документации;1746;30.409769;60.02871700000001;0.0;113;0.24943810884327927;0.3811188811188811;0.618881118881119
Бухарестская ул.;96;0.0;А;Фрунзенский;2009;"ООО ""Управляющая компания РеспектДом""";2020;Ремонт конструкций и замена покрытий крыш;1749;30.491408000000003;59.947433;0.0;9;0.7471321914760176;0.017482517482517484;0.9825174825174825
Дунайский пр.;7;3.0;А;Московский;2010;"ООО ""УК ""Содружество Сервис""";2020;"Ремонт или замена системы холодного водоснабжения; Асфальтирование и замощение придомовой территории; Ремонт конструкций и замена покрытий крыш";1750;30.235640000000004;59.85505500000001;0.0;8;0.7811293831847137;0.013986013986013986;0.986013986013986
1-я линия В.О.;44;0.0;А;Василеостровский;1800;"ТСЖ""1- линия, д.44""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории; Расходы на изготовление проектно-сметной документации";1753;30.383673;59.863726;0.0;218;0.1810088014042509;0.7482517482517482;0.2517482517482518
Шувалово, Береговая ул.;18;4.0;А;Выборгский;2011;"Общество сограниченной ответственностью ""Прайм-ФМ""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения";1754;30.407290000000003;60.031328;0.0;7;0.8208438207128181;0.01048951048951049;0.9895104895104895
пос.Песочный, квартал 10-й;181;0.0;А;Курортный;1952;"ЖЭК ""Созвездие-Приморский""";2021;"Ремонт или замена системы холодного водоснабжения; Асфальтирование и замощение придомовой территории; Ремонт конструкций и замена покрытий крыш";1757;30.315868;59.939095;0.0;66;0.3211023005294827;0.21678321678321677;0.7832167832167832
г.Павловск, Луначарского ул.;16;1.0;А;Пушкинский;2009;"ООО ""ТосноСтрой Сервис""";2020;"Ремонт или замена системы холодного водоснабжения; Капитальный ремонт лифтов с частичной заменой оборудования: модернизация лифтов; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";1759;30.413749;59.829975;0.0;9;0.7471321914760176;0.017482517482517484;0.9825174825174825
г.Пушкин, Гусарская ул.;8;1.0;А;Пушкинский;2007;"ООО ""Доверие""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления; Ремонт или замена системы отопления";1760;30.498118;59.946522;0.0;11;0.6914885665954706;0.024475524475524476;0.9755244755244755
Наличная ул.;48;2.0;А;Василеостровский;2000;"ТСЖ ""Графит-3""";2020;Ремонт или замена системы отопления;1763;30.24977;60.006075;0.0;18;0.5673236678211675;0.04895104895104895;0.951048951048951
Воронежская ул.;92;0.0;А;Фрунзенский;2002;"ТСЖ ""Дом на Воронежской""";2020;"Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или замена системы отопления";1764;30.224716;60.007398;0.0;16;0.5954115063616282;0.04195804195804196;0.958041958041958
Камышовая ул.;11;0.0;А;Приморский;1995;"ТСЖ ""Камышовая 11""";2020;"Ремонт фасадов без утепления; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Ремонт и восстановление озеленения; Расходы на изготовление проектно-сметной документации";1765;30.420351;59.971204;0.0;23;0.5120798198093452;0.06643356643356643;0.9335664335664335
Яхтенная ул.;40;0.0;А;Приморский;2004;"ТСЖ ""Яхта-9""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт и восстановление озеленения; Ремонт фасадов без утепления; Асфальтирование и замощение придомовой территории";1766;30.492818;59.964124;0.0;14;0.6284766690890997;0.03496503496503497;0.965034965034965
Львовская ул.;27;2.0;Б;Петродворцовый;2008;"ООО ""Жилкомсервис""";2020;Ремонт конструкций и замена покрытий крыш;1767;30.375319;60.023227;0.0;10;0.7175559837002602;0.02097902097902098;0.9790209790209791
Жерновская 6-я ул.;19;0.0;А;Красногвардейский;2010;"ООО ""Управляющая компания ДМ""";2020;"Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Асфальтирование и замощение придомовой территории";1768;30.035136;59.853306;0.0;8;0.7811293831847137;0.013986013986013986;0.986013986013986
Луначарского пр.;11;1.0;А;Выборгский;2012;"Общество с ограниченной ответственностью ""Первая эксплуатирующая компания""";2020;"Ремонт или замена системы электроснабжения; Благоустройство придомовой территории; Ремонт или замена системы отопления";1771;30.148225;59.82686800000001;0.0;6;0.8681990732694461;0.006993006993006993;0.993006993006993
г.Павловск, Березовая ул.;22;2.0;А;Пушкинский;2004;"ТСЖ ""Берёзовое""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации";1774;30.09614;59.835559;0.0;14;0.6284766690890997;0.03496503496503497;0.965034965034965
