addr_street;addr_number;addr_building;addr_letter;addr_district;data_buildingdate;param_ukname;repair_years;repair_work_problem;number;lat;lon;data_reconstructiondate;age;index_r;age_norm;age_norm_inv
Луначарского пр.;78;1.0;А;Калининский;1973;ООО «Жилкомсервис № 1 Калининского района»;2020;"Ремонт или замена системы электроснабжения; Ремонт или замена системы канализования и водоотведения; Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или восстановление ОДС";3254;29.929898;59.861087;10.0;45;0.024316063896279338;0.14335664335664336;0.8566433566433567
Народная ул.;86;0.0;Ж;Невский;1962;"ООО ""Жилкомсервис №1 Невского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы отопления";4735;30.513623;59.83772;4.0;56;0.060067162940792396;0.18181818181818182;0.8181818181818181
Камышовая ул.;28;2.0;А;Приморский;1994;"ООО ""Жилкомсервис № 1 Приморского района""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы отопления; Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";5231;30.429828000000004;59.884609;4.0;24;0.09140804221660559;0.06993006993006994;0.9300699300699301
Шаумяна пр.;57;0.0;А;Красногвардейский;1960;"ООО ""Жилкомсервис №1 Красногвардейского района""";2020;"Ремонт фасадов без утепления; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы электроснабжения";1633;30.281687;59.966138;6.0;58;0.038842030474648064;0.1888111888111888;0.8111888111888113
Английский пр.;2;0.0;А;Адмиралтейский;1894;"ООО ""Жилкомсервис №1 Адмиралтейского района""";2020;"Ремонт или замена системы электроснабжения; Ремонт фасада (Герметизация стыков стеновых панелей)";1843;29.898466;59.874779;5.0;124;0.030202732360810683;0.4195804195804196;0.5804195804195804
Солидарности пр.;3;5.0;А;Невский;1986;"ООО ""Жилкомсервис № 1 Невского района""";2020;"Ремонт или замена системы холодного водоснабжения; Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";15907;30.342665000000004;59.928537;4.0;32;0.07969536167321101;0.0979020979020979;0.9020979020979021
Добровольцев ул.;18;0.0;А;Красносельский;1970;"ООО ""Жилищник""";2020;"Ремонт фасадов без утепления; Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории; Ремонт фасада (Герметизация стыков стеновых панелей); Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или восстановление ОДС";14439;30.286026;59.92076700000001;7.0;48;0.03637084332932237;0.15384615384615385;0.8461538461538461
Б. Пушкарская ул.;19;0.0;Б;Петроградский;1898;"УК ООО ""ЖКС №1 Петроградского района""";2020;"Благоустройство придомовой территории; Ремонт или замена системы отопления";15690;30.260155;59.946964;4.0;120;0.03929502299420143;0.40559440559440557;0.5944055944055944
Тамбасова ул.;19;6.0;А;Красносельский;1966;"ООО ""ЖКСервис""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории; Ремонт фасада (Герметизация стыков стеновых панелей)";9961;30.27477;59.909617;9.0;52;0.025483775093973336;0.16783216783216784;0.8321678321678322
Кораблестроителей ул.;37;0.0;А;Василеостровский;1977;"ЗАО ""Сити Сервис""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы электроснабжения; Асфальтирование и замощение придомовой территории";3421;30.292656;59.921209;5.0;41;0.056842575159193304;0.12937062937062938;0.8706293706293706
Ленина ул.;52;0.0;А;Петроградский;1912;"УК ООО ""Жилкомсервис №2 Петроградского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";2956;30.315868;59.939095;7.0;106;0.0221082747983684;0.35664335664335667;0.6433566433566433
