Улица;Номер улицы;Строение;Литера;Район;Дата постройки;УК;Ожидаемый год ремонта;Ожидаемая статья ремонта;id;Широта;Долгота;Кол-во ремонтов;Возраст дома;Техническое состояние дома;age_norm;Индекс возраста дома;Адрес;Год ремонта по ГОСТ;Дельта
Костюшко ул.;26;0;А;Московский;1964;"ООО ""Управляющая организация ""Профсервис""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы отопления";7195;30.285352000000003;59.942101;0.0;54;0.3519982378862631;0.17482517482517482;0.8251748251748252;Костюшко ул., 26, А;2021.0;1.0
г.Сестрорецк, Писемского ул.;2;7;З;Курортный;1958;"ООО ""ЖКС Курортного района""";2021;"Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Расходы на изготовление проектно-сметной документации; Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа";7198;30.315868;59.939094999999995;0.0;60;0.3354788297454366;0.1958041958041958;0.8041958041958042;г.Сестрорецк, Писемского ул., 2, 7, З;2021.0;0.0
Просвещения пр.;14;4;А (кв. 1-169);Выборгский;1996;Общество с ограниченной ответственностью Жилкомсервис № 1 Выборгского района;2020;"Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";7199;30.474653999999997;59.900949;0.0;22;0.5217786777491664;0.06293706293706294;0.9370629370629372;Просвещения пр., 14, 4, А (кв. 1-169);2027.0;7.0
Малая Десятинная ул.;11;0;А;Приморский;2011;"ООО ""УК ""Содружество""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации";7200;30.106848;59.825410999999995;0.0;7;0.8208438207128181;0.01048951048951049;0.9895104895104896;Малая Десятинная ул., 11, А;2024.0;4.0
Петергофское Шоссе;88;2;А;Красносельский;1999;"ООО ""УК""Евротракт""";2020;"АВКР; Расходы на изготовление проектно-сметной документации; Ремонт конструкций и замена покрытий крыш";7201;30.479335;59.91700600000001;0.0;19;0.5547670425085036;0.05244755244755245;0.9475524475524476;Петергофское Шоссе, 88, 2, А;2021.0;1.0
Краснопутиловская ул.;66;2;А;Московский;2005;"ТСЖ ""Краснопутиловская  66-1""";2020;Асфальтирование и замощение придомовой территории;7202;30.320656;60.011593999999995;0.0;13;0.6473888069275165;0.03146853146853147;0.9685314685314684;Краснопутиловская ул., 66, 2, А;2024.0;4.0
2-я линия В.О.;27;0;А;Василеостровский;1997;"ТСЖ""Остров""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации";7203;30.228956;60.022036;0.0;21;0.5320796048169304;0.05944055944055944;0.9405594405594404;2-я линия В.О., 27, А;2021.0;1.0
Кузнецова пр.;22;1;А;Красносельский;2004;"ТСЖ ""Проспект Кузнецова""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Ремонт или восстановление внутридомовых инженерных систем";7207;30.224177;59.946252;0.0;14;0.6284766690890997;0.03496503496503497;0.965034965034965;Кузнецова пр., 22, 1, А;2021.0;1.0
Поликарпова а.;6;1;А;Приморский;2006;"ТСЖ ""Аллея Поликарпова 6""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы электроснабжения; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Капитальный ремонт лифтов (с заменой крупных узлов)";7208;30.262805;59.973028;0.0;12;0.6682654663407499;0.02797202797202797;0.9720279720279721;Поликарпова а., 6, 1, А;2024.0;4.0
Большевиков пр.;6;4;А;Невский;2000;"ТСЖ ""ТСЖ -2000""";2020;"Ремонт или замена системы электроснабжения; Благоустройство придомовой территории; Ремонт или замена системы отопления";7212;30.484105;59.900872;0.0;18;0.5673236678211675;0.04895104895104895;0.951048951048951;Большевиков пр., 6, 4, А;2027.0;7.0
Шаврова ул.;7;1;А;Приморский;1990;ЖСК 1314;2020;"Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа";7214;30.398576000000002;60.041939;0.0;28;0.4708322607186172;0.08391608391608392;0.9160839160839158;Шаврова ул., 7, 1, А;2033.0;13.0
Доблести ул.;26;1;А;Красносельский;2006;"ТСЖ ""Доблести 26/1""";2020;"Ремонт конструкций и замена покрытий крыш; Расходы на изготовление проектно-сметной документации; Ремонт или замена системы отопления";7215;30.297974;59.95135300000001;0.0;12;0.6682654663407499;0.02797202797202797;0.9720279720279721;Доблести ул., 26, 1, А;2021.0;1.0
Кемская ул.;7;0;А;Петроградский;2007;"ООО ""УК ""Альбион""";2020;"Ремонт конструкций и замена покрытий крыш; Расходы на изготовление проектно-сметной документации";7219;30.419857;59.888071999999994;0.0;11;0.6914885665954706;0.024475524475524483;0.9755244755244756;Кемская ул., 7, А;2024.0;4.0
г.Пушкин, Малиновская ул.;8;0;А;Пушкинский;2006;"ТСЖ ""Малиновское""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения";7221;30.304037;60.037629;0.0;12;0.6682654663407499;0.02797202797202797;0.9720279720279721;г.Пушкин, Малиновская ул., 8, А;2024.0;4.0
Яблочкова ул.;11;0;А;Петроградский;2005;"ТСЖ ""Яблочкова, д. 11""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";7226;30.46577000000001;59.932351000000004;0.0;13;0.6473888069275165;0.03146853146853147;0.9685314685314684;Яблочкова ул., 11, А;2021.0;1.0
пос.Песочный, квартал 11-й;190;0;А;Курортный;1952;"ООО ""ЖЭК Созвездие-Приморский""";2021;Ремонт фасада (Герметизация стыков стеновых панелей);7227;30.373387;59.931977;0.0;66;0.3211023005294827;0.2167832167832168;0.7832167832167832;пос.Песочный, квартал 11-й, 190, А;2030.0;9.0
Пулковская ул.;10;1;А;Московский;2005;"ТСН ""Звёздное-1""";2020;"Ремонт фасадов без утепления; Расходы на изготовление проектно-сметной документации";7228;30.383646000000002;59.836245999999996;0.0;13;0.6473888069275165;0.03146853146853147;0.9685314685314684;Пулковская ул., 10, 1, А;2021.0;1.0
Крупской ул.;45;0;А;Невский;1962;"ООО ""Жилкомсервис №1 Невского района""";2020;Ремонт конструкций и замена покрытий крыш;7230;30.37472600000001;59.86475600000001;0.0;56;0.3462207510876804;0.18181818181818185;0.8181818181818181;Крупской ул., 45, А;2021.0;1.0
Большая Десятинная ул.;5;0;А;Выборгский;2010;"Общество с ограниченной ответственностью ""Стройуправление""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; АВКР; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";7232;30.225237;59.83090600000001;0.0;8;0.7811293831847137;0.013986013986013986;0.986013986013986;Большая Десятинная ул., 5, А;2033.0;13.0
Комендантский пр.;13;1;А;Приморский;2006;"ТСЖ ""Комендантский 13""";2020;"Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или восстановление ОДС";7233;30.259597999999997;60.003857999999994;0.0;12;0.6682654663407499;0.02797202797202797;0.9720279720279721;Комендантский пр., 13, 1, А;2021.0;1.0
Приморский пр.;163;0;А;Приморский;1997;"ТСЖ ""Связист""";2020;"Ремонт или замена системы электроснабжения; Ремонт фасада (Герметизация стыков стеновых панелей); Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";7235;30.400948;59.653517;0.0;21;0.5320796048169304;0.05944055944055944;0.9405594405594404;Приморский пр., 163, А;2024.0;4.0
2-я Березовая аллея;34;0;А;Петроградский;2001;"ТСЖ ""Дача Шварца""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа";7236;30.242619;59.852456999999994;0.0;17;0.5808284224082145;0.045454545454545456;0.9545454545454546;2-я Березовая аллея, 34, А;2024.0;4.0
Ворошилова ул.;33;1;А;Невский;2013;"ООО ""Перспектива""";2020;"Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов (с заменой крупных узлов)";7237;30.415059999999997;59.964096999999995;0.0;5;0.9262141678751994;0.0034965034965034965;0.9965034965034965;Ворошилова ул., 33, 1, А;2021.0;1.0
4-я Советская ул.;37а;0;А;Центральный;2006;"ООО""ЖУК""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы отопления";7238;30.330052000000002;59.923396;0.0;12;0.6682654663407499;0.02797202797202797;0.9720279720279721;4-я Советская ул., 37а, А;2024.0;4.0
Дунайский пр.;36;1;А;Фрунзенский;2001;"ТСЖ ""Южные ворота""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы электроснабжения; Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";7239;30.264026;59.96599300000001;0.0;17;0.5808284224082145;0.045454545454545456;0.9545454545454546;Дунайский пр., 36, 1, А;2024.0;4.0
Раздельный пр.;15а;0;А;Приморский;1964;"ООО ""Жилкомсервис № 1 Приморского района""";2021;Ремонт или замена системы отопления;7242;30.49227;59.916143999999996;0.0;54;0.3519982378862631;0.17482517482517482;0.8251748251748252;Раздельный пр., 15а, А;2021.0;0.0
Шпалерная ул.;42;0;А;Центральный;2000;"ТСЖ ""Развитие Сервис""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации";7245;30.416892999999998;60.027112;0.0;18;0.5673236678211675;0.04895104895104895;0.951048951048951;Шпалерная ул., 42, А;2027.0;7.0
Ленинский пр.;114;0;А (3 очередь);Кировский;2010;"Общество с ограниченной ответственностью ""Петербургский дом""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления; Расходы на изготовление проектно-сметной документации";7247;30.315868;59.939094999999995;0.0;8;0.7811293831847137;0.013986013986013986;0.986013986013986;Ленинский пр., 114, А (3 очередь);2021.0;1.0
Крестовский пр.;30;0;А;Петроградский;2007;"ТСЖ ""Фаворит""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт фасадов без утепления; Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш";7250;30.331165999999996;59.958327000000004;0.0;11;0.6914885665954706;0.024475524475524483;0.9755244755244756;Крестовский пр., 30, А;2027.0;7.0
Юрия Гагарина пр.;14;4;А;Московский;1963;"ООО ""Жилкомсервис № 1 Московского района""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы электроснабжения";7251;30.448495;59.865379000000004;0.0;55;0.34907322156779746;0.17832167832167833;0.8216783216783217;Юрия Гагарина пр., 14, 4, А;2030.0;10.0
г.Зеленогорск, Решетниково;12;0;А;Курортный;1987;ЖКС Курортного района;2020;Расходы на изготовление проектно-сметной документации;7388;30.315868;59.939094999999995;0.0;31;0.4505449916171794;0.0944055944055944;0.9055944055944056;г.Зеленогорск, Решетниково, 12, А;2021.0;1.0
Пестеля ул.;21;0;А;Центральный;1834;ТСЖ «Пестеля 21»;2020;Ремонт или замена системы холодного водоснабжения;7390;29.855149;59.86861800000001;0.0;184;0.19686962036405653;0.6293706293706294;0.3706293706293706;Пестеля ул., 21, А;2021.0;1.0
Жуковского ул.;10;0;А;Центральный;1837;ООО «Жилкомсервис № 1 Центрального района»;2019;Ремонт или замена системы отопления;7392;30.281777;59.98664599999999;0.0;181;0.19847014063507692;0.6188811188811189;0.3811188811188812;Жуковского ул., 10, А;2021.0;2.0
Кржижановского ул.;5;2;А;Невский;1986;"ООО ""Жилкомсервис №1 Невского района""";2020;Ремонт фасада (Герметизация стыков стеновых панелей);7396;30.264574;59.854712;0.0;32;0.4443617447497735;0.0979020979020979;0.902097902097902;Кржижановского ул., 5, 2, А;2021.0;1.0
Старорусская ул.;11;0;А;Центральный;1916;"ООО "" Жилкомсервис № 3 Центрального района """;2020;"Ремонт или замена системы электроснабжения; Ремонт фасада (Герметизация стыков стеновых панелей); Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт конструкций и замена покрытий крыш";7411;30.277428999999998;59.903845999999994;0.0;102;0.2619115626268555;0.34265734265734266;0.6573426573426573;Старорусская ул., 11, А;2033.0;13.0
Московский пр.;177;0;А;Московский;1948;"ООО ""Жилкомсервис № 3 Московского района""";2020;"Ремонт или замена системы холодного водоснабжения; Асфальтирование и замощение придомовой территории; Ремонт конструкций и замена покрытий крыш";7413;30.395926;60.04905600000001;0.0;70;0.3124898207508364;0.2307692307692308;0.7692307692307692;Московский пр., 177, А;2024.0;4.0
г.Сестрорецк, Дубковское шоссе;71;0;А;Курортный;1917;ЖКС Курортного района;2021;Асфальтирование и замощение придомовой территории;7414;30.279603;59.920375;0.0;101;0.2631394317913649;0.3391608391608392;0.6608391608391608;г.Сестрорецк, Дубковское шоссе, 71, А;2027.0;6.0
Львовская ул.;21;2;А;Петродворцовый;2008;"ООО ""Жилкомсервис""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";7415;30.416371999999996;60.017328000000006;0.0;10;0.7175559837002602;0.02097902097902098;0.9790209790209792;Львовская ул., 21, 2, А;2027.0;7.0
г.Сестрорецк, М.Канонерская ул.;26;0;А;Курортный;1917;ЖКС Курортного района;2021;"Ремонт или замена системы горячего водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления; Ремонт или восстановление внутридомовых инженерных систем; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт или восстановление ОДС";7421;30.315868;59.939094999999995;0.0;101;0.2631394317913649;0.3391608391608392;0.6608391608391608;г.Сестрорецк, М.Канонерская ул., 26, А;2018.0;-3.0
Композиторов ул.;1;1;А (пар.1-5);Выборгский;1981;Жилищно-строительный кооператив № 1057;2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";7437;30.231939;60.006714;0.0;37;0.4169511066655112;0.1153846153846154;0.8846153846153846;Композиторов ул., 1, 1, А (пар.1-5);2033.0;13.0
Московский пр.;218;0;А;Московский;1954;"ООО ""Жилкомсервис № 1 Московского района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";7440;30.307190000000002;59.918453;0.0;64;0.3256858439360469;0.2097902097902098;0.7902097902097902;Московский пр., 218, А;2021.0;1.0
Богатырский пр.;51;1;А;Приморский;2005;"ТСЖ ""Богатырь""";2020;Ремонт конструкций и замена покрытий крыш;7456;30.077087;59.718982999999994;0.0;13;0.6473888069275165;0.03146853146853147;0.9685314685314684;Богатырский пр., 51, 1, А;2024.0;4.0
Гаванская ул;49;0;А;Василеостровский;1956;"ООО ""Жилкомсервис № 1 Василеостровского района""";2020;"Ремонт фасадов без утепления; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения";7469;30.206193;60.103706;0.0;62;0.33047276069973586;0.2027972027972028;0.7972027972027972;Гаванская ул, 49, А;2021.0;1.0
наб.реки Мойки;62/2;0;А;Адмиралтейский;1863;"ООО ""Жилкомсервис №2 Адмиралтейского района""";2019;"Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления";7470;30.315868;59.939094999999995;0.0;155;0.2141374167479435;0.5279720279720279;0.47202797202797203;наб.реки Мойки, 62/2, А;2033.0;14.0
г.Сестрорецк, Приморское шоссе;263;0;А;Курортный;2006;"ТСЖ ""Сестрорецк 1""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт фасадов без утепления; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";7481;30.175569;59.86175600000001;0.0;12;0.6682654663407499;0.02797202797202797;0.9720279720279721;г.Сестрорецк, Приморское шоссе, 263, А;2024.0;4.0
Пражская ул.;44;0;А;Фрунзенский;1999;"ЖК ""Пражский""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Расходы на изготовление проектно-сметной документации";7482;30.401666;59.82902900000001;0.0;19;0.5547670425085036;0.05244755244755245;0.9475524475524476;Пражская ул., 44, А;2021.0;1.0
Туристская ул.;10;1;А;Приморский;2005;"ТСЖ ""Чайка""";2020;"Ремонт или замена системы холодного водоснабжения; Асфальтирование и замощение придомовой территории; Ремонт конструкций и замена покрытий крыш";7484;30.504577;59.969799;0.0;13;0.6473888069275165;0.03146853146853147;0.9685314685314684;Туристская ул., 10, 1, А;2021.0;1.0
Коломяжский пр.;20;0;А;Приморский;2003;"ТСЖ""НА КОЛОМЯЖСКОМ""";2020;"Ремонт или замена системы холодного водоснабжения; Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";7485;30.329406;60.034465000000004;0.0;15;0.6112301967738138;0.038461538461538464;0.9615384615384616;Коломяжский пр., 20, А;2021.0;1.0
г.Пушкин, Саперная ул.;54;0;А;Пушкинский;1997;"ООО"" Жилкомсервис №1 Пушкинского района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации";7489;29.711059000000002;60.245286;0.0;21;0.5320796048169304;0.05944055944055944;0.9405594405594404;г.Пушкин, Саперная ул., 54, А;2024.0;4.0
Детская ул.;18;0;А;Василеостровский;2012;"ООО УК ""Управление комфортом""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт и восстановление озеленения; Капитальный ремонт лифтов с частичной заменой оборудования: модернизация лифтов; Ремонт фасадов без утепления";7490;30.315868;59.939094999999995;0.0;6;0.8681990732694461;0.006993006993006993;0.9930069930069929;Детская ул., 18, А;2033.0;13.0
Чудновского ул.;6;2;А;Невский;2007;"ТСЖ""Чудновского 6/2""";2020;Ремонт фасадов без утепления;7491;30.300678;59.96080500000001;0.0;11;0.6914885665954706;0.024475524475524483;0.9755244755244756;Чудновского ул., 6, 2, А;2033.0;13.0
Ленинский пр.;57;1;А;Красносельский;2011;"ООО ""Строитель""";2020;"Ремонт фасадов без утепления; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы электроснабжения; Ремонт или восстановление внутридомовых инженерных систем; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или восстановление ОДС";7492;30.242431;60.02341600000001;0.0;7;0.8208438207128181;0.01048951048951049;0.9895104895104896;Ленинский пр., 57, 1, А;2021.0;1.0
пос.Песочный, Карла Маркса ул.;24;0;А;Курортный;1917;"РСУ ""Регион""";2021;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения";7494;30.49625;59.841776;0.0;101;0.2631394317913649;0.3391608391608392;0.6608391608391608;пос.Песочный, Карла Маркса ул., 24, А;2027.0;6.0
Сикейроса ул.;11;1;А;Выборгский;2005;"Товарищество собственников жилья ""Веста""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей)";7496;30.298665000000003;59.854779;0.0;13;0.6473888069275165;0.03146853146853147;0.9685314685314684;Сикейроса ул., 11, 1, А;2024.0;4.0
г.Зеленогорск, Решетниково;19;0;А;Курортный;1976;ЖКС Курортного района;2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления";7500;30.288326;59.919662;0.0;42;0.3941588799024889;0.13286713286713284;0.8671328671328671;г.Зеленогорск, Решетниково, 19, А;2030.0;10.0
пос.Солнечное, Средняя ул.;8;4;А;Курортный;2009;"ООО ""Управление недвижимостью""";2020;"Благоустройство придомовой территории; Ремонт и восстановление озеленения; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы горячего водоснабжения";7501;30.421266999999997;59.962706000000004;0.0;9;0.7471321914760176;0.017482517482517484;0.9825174825174824;пос.Солнечное, Средняя ул., 8, 4, А;2021.0;1.0
Шамшева ул.;13;0;А;Петроградский;2001;"ТСЖ ""Шамшева, 13""";2020;"Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа";7502;30.460533;59.732852;0.0;17;0.5808284224082145;0.045454545454545456;0.9545454545454546;Шамшева ул., 13, А;2021.0;1.0
Тимуровская ул.;23;3;А;Калининский;2007;"ТСЖ ""ГринЛандия""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт или восстановление ОДС";7504;30.450578999999998;59.923081;0.0;11;0.6914885665954706;0.024475524475524483;0.9755244755244756;Тимуровская ул., 23, 3, А;2021.0;1.0
Рыбацкий пр.;17;1;А;Невский;2010;"ТСЖ ""Рыбацкий""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы отопления";7505;30.35393;59.929601;0.0;8;0.7811293831847137;0.013986013986013986;0.986013986013986;Рыбацкий пр., 17, 1, А;2024.0;4.0
г.Пушкин, Красносельское ш.;18;1;А;Пушкинский;2007;"ТСЖ ""У Орловских ворот""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории";7506;30.403634000000004;59.93454200000001;0.0;11;0.6914885665954706;0.024475524475524483;0.9755244755244756;г.Пушкин, Красносельское ш., 18, 1, А;2024.0;4.0
Малая Балканская ул.;50;3;А;Фрунзенский;2001;"ЖК ""Балканский""";2020;"Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории";7508;30.255096999999996;60.00471700000001;0.0;17;0.5808284224082145;0.045454545454545456;0.9545454545454546;Малая Балканская ул., 50, 3, А;2021.0;1.0
Ногина пер.;4;2;А;Невский;2006;"ТСЖ ""Невская пристань""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт и восстановление озеленения; Ремонт фасадов без утепления; Асфальтирование и замощение придомовой территории";7510;30.416902;59.722454000000006;0.0;12;0.6682654663407499;0.02797202797202797;0.9720279720279721;Ногина пер., 4, 2, А;2027.0;7.0
Английский пр.;48;0;А;Адмиралтейский;2003;"ТСЖ ""Английский проспект""";2020;"Благоустройство придомовой территории; Ремонт и восстановление озеленения";7511;30.452842999999998;59.924848;0.0;15;0.6112301967738138;0.038461538461538464;0.9615384615384616;Английский пр., 48, А;2024.0;4.0
пос.Шушары, Славянка,Галицкая ул.;12;3;А;Пушкинский;2011;"ООО ""Жилкомсервис № 1 Колпинского района""";2020;"Ремонт фасадов без утепления; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления";7513;30.306238;59.95368199999999;0.0;7;0.8208438207128181;0.01048951048951049;0.9895104895104896;пос.Шушары, Славянка,Галицкая ул., 12, 3, А;2021.0;1.0
Пятилеток пр.;16;3;А;Невский;1997;"ТСЖ ""Оккервиль""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";7515;30.157199;59.846712;0.0;21;0.5320796048169304;0.05944055944055944;0.9405594405594404;Пятилеток пр., 16, 3, А;2024.0;4.0
Марата ул.;11;0;В;Центральный;1828;ТСЖ «Гельвеция»;2020;"Ремонт фасада (Герметизация стыков стеновых панелей); Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или замена системы отопления";7516;30.200111;59.85768;0.0;190;0.19377793365040732;0.6503496503496503;0.3496503496503497;Марата ул., 11, В;2021.0;1.0
Костромской пр.;48;0;А;Выборгский;1999;"Потребительский жилищно-строительный кооператив ""Военный врач -2""";2020;"Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш";7518;30.284643;59.937526;0.0;19;0.5547670425085036;0.05244755244755245;0.9475524475524476;Костромской пр., 48, А;2033.0;13.0
Камышовая ул.;2;1;А;Приморский;1992;ЖСК 1343;2020;Ремонт или замена системы электроснабжения;7519;30.505089;59.861715000000004;0.0;26;0.4860536050237094;0.07692307692307693;0.9230769230769232;Камышовая ул., 2, 1, А;2024.0;4.0
Бухарестская ул.;130;1;А;Фрунзенский;2005;"ТСЖ ""Бухарестская-130""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Капитальный ремонт лифтов (с заменой крупных узлов)";7523;30.267853000000002;59.972483;0.0;13;0.6473888069275165;0.03146853146853147;0.9685314685314684;Бухарестская ул., 130, 1, А;2021.0;1.0
