Улица;Номер улицы;Строение;Литера;Район;Дата постройки;УК;Ожидаемый год ремонта;Ожидаемая статья ремонта;id;Широта;Долгота;Кол-во ремонтов;Возраст дома;Техническое состояние дома;age_norm;Индекс возраста дома;Адрес;Год ремонта по ГОСТ;Дельта
Гражданский пр.;83;4;А;Калининский;1969;ЖСК-385;2020;Ремонт конструкций и замена покрытий крыш;19533;30.329046;60.017683;1.0;49;0.17817962229705722;0.15734265734265734;0.8426573426573427;Гражданский пр., 83, 4, А;2021.0;1.0
Зины Портновой ул.;4;0;А;Кировский;1961;"Общество с ограниченной ответственностью ""Жилкомсервис № 2 Кировского района""";2020;"АВКР; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";20693;30.256768;59.853857;1.0;57;0.16598329588712366;0.1853146853146853;0.8146853146853147;Зины Портновой ул., 4, А;2021.0;1.0
Ярослава Гашека ул.;7;1;А;Фрунзенский;1975;"ТСЖ ""Веста""";2019;"Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы горячего водоснабжения";21130;30.324438;59.888677;5.0;43;0.05544768498249905;0.13636363636363635;0.8636363636363636;Ярослава Гашека ул., 7, 1, А;2024.0;5.0
пос. Металлострой, Плановая ул.;12;0;А;Колпинский;1964;"ООО ""Гарант-Сервис""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения";8153;30.295422;60.028505;3.0;54;0.07939613389961858;0.17482517482517482;0.8251748251748252;пос. Металлострой, Плановая ул., 12, А;2033.0;13.0
Комсомольского канала наб.;28;0;А;Колпинский;1954;"ООО ""ЖКС №1 Колпинского района""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";20347;30.426028999999996;60.004114;8.0;64;0.025990663463178902;0.2097902097902098;0.7902097902097902;Комсомольского канала наб., 28, А;2021.0;1.0
Смолячкова ул.;12;0;А;Выборгский;1959;Общество с ограниченной ответственностью Жилкомсервис № 1 Выборгского района;2020;Ремонт или замена системы холодного водоснабжения;15423;30.308125;59.961872;3.0;59;0.07591393919852857;0.19230769230769232;0.8076923076923077;Смолячкова ул., 12, А;2021.0;1.0
Луначарского пр.;78;1;А;Калининский;1973;ООО «Жилкомсервис № 1 Калининского района»;2020;"Ремонт или замена системы электроснабжения; Ремонт или замена системы канализования и водоотведения; Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или восстановление ОДС";3254;29.929897999999998;59.861087;10.0;45;0.024316063896279338;0.14335664335664336;0.8566433566433567;Луначарского пр., 78, 1, А;2021.0;1.0
Народная ул.;86;0;Ж;Невский;1962;"ООО ""Жилкомсервис №1 Невского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы отопления";4735;30.513623;59.83772;4.0;56;0.0600671629407924;0.18181818181818185;0.8181818181818181;Народная ул., 86, Ж;2021.0;1.0
Камышовая ул.;28;2;А;Приморский;1994;"ООО ""Жилкомсервис № 1 Приморского района""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы отопления; Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";5231;30.429828000000004;59.884609;4.0;24;0.0914080422166056;0.06993006993006994;0.93006993006993;Камышовая ул., 28, 2, А;2021.0;1.0
Шаумяна пр.;57;0;А;Красногвардейский;1960;"ООО ""Жилкомсервис №1 Красногвардейского района""";2020;"Ремонт фасадов без утепления; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы электроснабжения";1633;30.281686999999998;59.966138;6.0;58;0.038842030474648064;0.1888111888111888;0.8111888111888113;Шаумяна пр., 57, А;2021.0;1.0
Английский пр.;2;0;А;Адмиралтейский;1894;"ООО ""Жилкомсервис №1 Адмиралтейского района""";2020;"Ремонт или замена системы электроснабжения; Ремонт фасада (Герметизация стыков стеновых панелей)";1843;29.898466;59.874779000000004;5.0;124;0.030202732360810683;0.4195804195804196;0.5804195804195804;Английский пр., 2, А;2018.0;-2.0
Солидарности пр.;3;5;А;Невский;1986;"ООО ""Жилкомсервис № 1 Невского района""";2020;"Ремонт или замена системы холодного водоснабжения; Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";15907;30.342665000000004;59.928537;4.0;32;0.07969536167321101;0.0979020979020979;0.902097902097902;Солидарности пр., 3, 5, А;2024.0;4.0
Добровольцев ул.;18;0;А;Красносельский;1970;"ООО ""Жилищник""";2020;"Ремонт фасадов без утепления; Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории; Ремонт фасада (Герметизация стыков стеновых панелей); Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или восстановление ОДС";14439;30.286026;59.92076700000001;7.0;48;0.03637084332932237;0.15384615384615385;0.8461538461538461;Добровольцев ул., 18, А;2024.0;4.0
Б. Пушкарская ул.;19;0;Б;Петроградский;1898;"УК ООО ""ЖКС №1 Петроградского района""";2020;"Благоустройство придомовой территории; Ремонт или замена системы отопления";15690;30.260154999999997;59.946964;4.0;120;0.03929502299420143;0.4055944055944056;0.5944055944055944;Б. Пушкарская ул., 19, Б;2024.0;4.0
Тамбасова ул.;19;6;А;Красносельский;1966;"ООО ""ЖКСервис""";2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории; Ремонт фасада (Герметизация стыков стеновых панелей)";9961;30.27477;59.909617000000004;9.0;52;0.025483775093973336;0.16783216783216784;0.8321678321678322;Тамбасова ул., 19, 6, А;2021.0;1.0
Кораблестроителей ул.;37;0;А;Василеостровский;1977;"ЗАО ""Сити Сервис""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы электроснабжения; Асфальтирование и замощение придомовой территории";3421;30.292656;59.921209;5.0;41;0.0568425751591933;0.12937062937062938;0.8706293706293706;Кораблестроителей ул., 37, А;2021.0;1.0
Ленина ул.;52;0;А;Петроградский;1912;"УК ООО ""Жилкомсервис №2 Петроградского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";2956;30.315868;59.939094999999995;7.0;106;0.0221082747983684;0.3566433566433567;0.6433566433566433;Ленина ул., 52, А;2021.0;1.0
11-я Красноармейская ул.;14;0;А;Адмиралтейский;1909;"ООО ""Жилкомсервис №1 Адмиралтейского района""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа";9040;30.508035999999997;59.97759300000001;5.0;109;0.03273524032449443;0.3671328671328672;0.6328671328671329;11-я Красноармейская ул., 14, А;2021.0;1.0
пос. Понтонный, Александра Товпеко ул.;11;0;А;Колпинский;1963;"ООО ""Гарант-Сервис""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";4875;30.242915999999997;59.859185;1.0;55;0.16880099373593396;0.17832167832167833;0.8216783216783217;пос. Понтонный, Александра Товпеко ул., 11, А;2024.0;4.0
Красного Курсанта ул.;25;0;А;Петроградский;1917;"УК ООО ""Жилкомсервис №2 Петроградского района""";2019;"Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";12043;30.419246;59.976022;3.0;101;0.057181432375894015;0.3391608391608392;0.6608391608391608;Красного Курсанта ул., 25, А;2024.0;5.0
Культуры пр.;6;1;А;Выборгский;1992;"Открытое акционерное общество ""Сити Сервис""";2020;Ремонт конструкций и замена покрытий крыш;2180;30.315868;59.939094999999995;2.0;26;0.1543703789439501;0.07692307692307693;0.9230769230769232;Культуры пр., 6, 1, А;2033.0;13.0
Седова ул.;87;4;В;Невский;1960;"ООО ""Жилкомсервис № 2 Невского района""";2020;"Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш";11567;29.527013;60.205433;2.0;58;0.10592638323541828;0.1888111888111888;0.8111888111888113;Седова ул., 87, 4, В;2021.0;1.0
Ленинский пр.;125;4;А;Кировский;1962;"Общество с ограниченной ответственностью ""Жилкомсервис № 1 Кировского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт фасадов без утепления; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";5807;30.360747999999997;60.014338;4.0;56;0.0600671629407924;0.18181818181818185;0.8181818181818181;Ленинский пр., 125, 4, А;2024.0;4.0
Турку ул.;8;1;А;Фрунзенский;1969;"ООО ""Жилкомсервис № 2 Фрунзенского района""";2020;"Капитальный ремонт лифтов с частичной заменой оборудования: модернизация лифтов; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Капитальный ремонт лифтов (с заменой крупных узлов)";16137;30.077581;59.744519;8.0;49;0.03067340065806746;0.15734265734265734;0.8426573426573427;Турку ул., 8, 1, А;2027.0;7.0
Лазо ул.;9;0;А;Красногвардейский;1956;"ООО ""Жилкомсервис  №2 Красногвардейского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш";13971;30.39828;60.014984999999996;3.0;62;0.07401476460298675;0.2027972027972028;0.7972027972027972;Лазо ул., 9, А;2024.0;4.0
Дыбенко ул.;15;2;Б;Невский;1973;ЖСК-619;2020;"Ремонт или замена системы холодного водоснабжения; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";21480;;;1.0;45;0.1853589048612196;0.14335664335664336;0.8566433566433567;Дыбенко ул., 15, 2, Б;2021.0;1.0
Садовая ул.;84;0;А,Б;Адмиралтейский;1898;"ООО ""Жилкомсервис №1 Адмиралтейского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Асфальтирование и замощение придомовой территории; Расходы на изготовление проектно-сметной документации";15378;30.440851000000002;59.871839;7.0;120;0.020257676585402288;0.4055944055944056;0.5944055944055944;Садовая ул., 84, А,Б;2024.0;4.0
Большая Зеленина ул.;39;0;Б;Петроградский;1875;"ООО ""ЖКС №2 Петроградского района""";2019;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Капитальный ремонт лифтов (с заменой крупных узлов)";19874;30.242907000000002;59.841111;3.0;143;0.04707083729862893;0.48601398601398604;0.513986013986014;Большая Зеленина ул., 39, Б;2021.0;2.0
Диагональная ул.;10;0;Д;Выборгский;1926;Общество с ограниченной ответственностью Жилкомсервис № 1 Выборгского раойна;2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории; Ремонт и восстановление озеленения; Ремонт или замена системы отопления";14281;30.28894600000001;59.94250200000001;5.0;92;0.03627722757828264;0.3076923076923077;0.6923076923076923;Диагональная ул., 10, Д;2024.0;4.0
Обуховской Обороны пр.;219;0;А;Невский;1917;"ООО ""Жилкомсервис №2 Невского района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории";8665;30.275893;59.983180000000004;2.0;101;0.08006565453316855;0.3391608391608392;0.6608391608391608;Обуховской Обороны пр., 219, А;2024.0;4.0
Санкт-Петербургское ш.;67;2;А;Петродворцовый;1966;"ООО ""ЖКС поселка Стрельна""";2020;"Ремонт фасадов без утепления; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления; Расходы на изготовление проектно-сметной документации; Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа";19560;30.330906;60.050582999999996;4.0;52;0.062438784283876274;0.16783216783216784;0.8321678321678322;Санкт-Петербургское ш., 67, 2, А;2021.0;1.0
Загородный пр.;12;0;А;Центральный;1880;"ООО "" Жилкомсервис №2 Центрального района """;2020;"Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Ремонт или восстановление внутридомовых инженерных систем; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";12884;30.315868;59.939094999999995;10.0;138;0.01016902876859683;0.4685314685314685;0.5314685314685315;Загородный пр., 12, А;2021.0;1.0
Ленсовета ул.;9/24;0;А;Московский;1961;"ООО ""Жилкомсервис № 2 Московского района""";2020;Ремонт конструкций и замена покрытий крыш;11673;30.475903000000002;59.909996;1.0;57;0.16598329588712366;0.1853146853146853;0.8146853146853147;Ленсовета ул., 9/24, А;2024.0;4.0
Володи Ермака ул.;19;0;А;Адмиралтейский;1872;"ООО ""Жилкомсервис №1 Адмиралтейского района""";2020;"Ремонт или замена системы электроснабжения; Благоустройство придомовой территории; Расходы на изготовление проектно-сметной документации";16065;30.365247999999998;59.939424;1.0;146;0.10449616785359067;0.4965034965034965;0.5034965034965035;Володи Ермака ул., 19, А;2021.0;1.0
пос.Шушары, Пушкинская ул.;3;0;А;Пушкинский;1959;"ООО ""Жилкомсервис № 1 Пушкинского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";18271;30.57426;59.734589;1.0;59;0.1632991124929868;0.19230769230769232;0.8076923076923077;пос.Шушары, Пушкинская ул., 3, А;2027.0;7.0
